g,s,lat,lon
urn:gleaner.io:eco:earthchem:data:047e78a61137bd5cea4391dae7a5474cf04f7c02,https://gleaner.io/xid/genid/daj5t00jo11s73e2sepg,40.6648488,-77.9072458
urn:gleaner.io:eco:earthchem:data:047e78a61137bd5cea4391dae7a5474cf04f7c02,https://gleaner.io/xid/genid/daj5t00jo11s73e2ser0,40.664761,-77.9069969
urn:gleaner.io:eco:earthchem:data:0eda3067a38a466bbb9cae8871f3ac9a7c53d3ff,https://gleaner.io/xid/genid/daj5t18jo11s73e2ukn0,40.6647688,-77.904123
urn:gleaner.io:eco:earthchem:data:0eda3067a38a466bbb9cae8871f3ac9a7c53d3ff,https://gleaner.io/xid/genid/daj5t18jo11s73e2ukng,40.6648488,-77.9072458
urn:gleaner.io:eco:earthchem:data:0eda3067a38a466bbb9cae8871f3ac9a7c53d3ff,https://gleaner.io/xid/genid/daj5t18jo11s73e2ukmg,40.6647109,-77.9069217
urn:gleaner.io:eco:earthchem:data:0eda3067a38a466bbb9cae8871f3ac9a7c53d3ff,https://gleaner.io/xid/genid/daj5t18jo11s73e2ukhg,40.6647061,-77.9070646
urn:gleaner.io:eco:earthchem:data:0eda3067a38a466bbb9cae8871f3ac9a7c53d3ff,https://gleaner.io/xid/genid/daj5t18jo11s73e2uki0,40.664761,-77.9069969
urn:gleaner.io:eco:earthchem:data:0eda3067a38a466bbb9cae8871f3ac9a7c53d3ff,https://gleaner.io/xid/genid/daj5t18jo11s73e2ukh0,40.664476,-77.90517
urn:gleaner.io:eco:earthchem:data:11f982174b059ac0d9bfeb3336e9e61178ca05dc,https://gleaner.io/xid/genid/daj5t1gjo11s73e2uv5g,40.6638863,-77.9063721
urn:gleaner.io:eco:earthchem:data:11f982174b059ac0d9bfeb3336e9e61178ca05dc,https://gleaner.io/xid/genid/daj5t1gjo11s73e2uv60,40.6641887,-77.9063285
urn:gleaner.io:eco:earthchem:data:11f982174b059ac0d9bfeb3336e9e61178ca05dc,https://gleaner.io/xid/genid/daj5t1gjo11s73e2uv6g,40.6644664,-77.9062619
urn:gleaner.io:eco:earthchem:data:154bed8e07c2cbf4b163ccfb87dbab658368a055,https://gleaner.io/xid/genid/daj5t1ojo11s73e2vb10,40.6657515,-77.9040044
urn:gleaner.io:eco:earthchem:data:154bed8e07c2cbf4b163ccfb87dbab658368a055,https://gleaner.io/xid/genid/daj5t1ojo11s73e2vb1g,44.292914,-72.093556
urn:gleaner.io:eco:earthchem:data:1a1d3f0bc17c3d330c282532bde68790d9181e84,https://gleaner.io/xid/genid/daj5t20jo11s73e2vvjg,40.66391666666667,-77.9057833333333
urn:gleaner.io:eco:earthchem:data:1a1d3f0bc17c3d330c282532bde68790d9181e84,https://gleaner.io/xid/genid/daj5t20jo11s73e2vvk0,40.6641,-77.90631666666667
urn:gleaner.io:eco:earthchem:data:1a1d3f0bc17c3d330c282532bde68790d9181e84,https://gleaner.io/xid/genid/daj5t20jo11s73e2vvkg,40.66426666666666,-77.90628333333333
urn:gleaner.io:eco:earthchem:data:1a1d3f0bc17c3d330c282532bde68790d9181e84,https://gleaner.io/xid/genid/daj5t20jo11s73e2vvig,40.66373333333333,-77.9053833333333
urn:gleaner.io:eco:earthchem:data:1a1d3f0bc17c3d330c282532bde68790d9181e84,https://gleaner.io/xid/genid/daj5t20jo11s73e2vvfg,40.66433333333333,-77.9055833333333
urn:gleaner.io:eco:earthchem:data:1a1d3f0bc17c3d330c282532bde68790d9181e84,https://gleaner.io/xid/genid/daj5t20jo11s73e2vvj0,40.66386666666666,-77.90633333333334
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358hg,40.39737681,-80.03122639
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358b0,40.426748,-80.003039
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358h0,40.4625942,-79.92745282
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358gg,40.4314,-79.97329
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358g0,40.468889,-80.022222
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358fg,40.4624,-80.030277
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358f0,40.4404,-79.99339
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358eg,40.412222,-79.936389
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358e0,40.4778880909225,-79.955733969
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358dg,40.4609,-80.0419
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358d0,40.404444,-80.014444
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358c0,40.485,-79.966667
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358bg,40.4838875981381,-79.95546781
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358i0,40.418955896596,-79.99318517
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358o0,40.492222,-80.043611
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358j0,40.4319,-80.05249
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358jg,40.4492,-80.0481
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358k0,40.45534782,-79.955754709
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358kg,40.4555,-80.021109
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358l0,40.4559,-79.9932
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358lg,40.4625942,-79.936886779
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358m0,40.47,-79.9935
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358mg,40.470833,-80.01277
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358n0,40.47708695,-79.955754709
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358ng,40.4838,-80.0126
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358ig,40.4318,-80.018
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358a0,40.47708695,-79.92745282
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e358ag,40.406389,-79.928889
urn:gleaner.io:eco:earthchem:data:26b2f0be3a7f5e33ba9cc674719707bab6614d52,https://gleaner.io/xid/genid/daj5t5ojo11s73e357p0,40.397222,-79.992778
